"","measured_percentN","Measured_Chl","measured_SLA","measured_Vmax","Measured_Sucrose","Wave_500","Wave_1600","Wave_2400"
"1",5.07,37.96720125,23.31986301,53.2,NA,0.050228648,0.2537874,0.065347137
"2",4.69,27.57852625,29.86578947,NA,NA,0.056963593,0.260426448,0.072829334
"3",4.9,26.450655,28.25477178,50.47,NA,0.052844189,0.258159559,0.067083722
"4",4.69,29.07020875,24.23274021,56.71,NA,0.052544276,0.257000949,0.064734236
"5",4.56,26.2849125,24.0614841,38.02,NA,0.055120493,0.26121986,0.068188274
"6",3.7,11.87121375,28.97617021,16.37,NA,0.04673491,0.249790989,0.064535174
"7",4.92,24.74351,23.24027304,33.52,NA,0.055154158,0.249743547,0.063859576
"8",4.33,28.958325,22.77391304,NA,NA,0.057864542,0.26782764,0.073002444
"9",5.03,30.84197875,26.08965517,51.39,NA,0.046688661,0.255072363,0.064456782
"10",4.41,26.7390475,26.39302326,50.92,NA,0.05793811,0.2567801,0.069426707
"11",4.89,34.15680125,24.23274021,NA,NA,0.031490932,0.232062697,0.046715865
"12",4.74,26.92965,25.12693727,37.32,NA,0.056323403,0.272563112,0.072043939
"13",4.48,31.28118125,23.24027304,59.43,NA,0.057317452,0.263941534,0.070101733
"14",4.46,31.1460875,24.85182482,52.49,NA,0.052881104,0.252902959,0.063054879
"15",4.76,26.2285375,30.95181818,36.57,NA,0.050008046,0.253231366,0.059953488
"16",4.88,27.46250375,31.09315068,40.78,NA,0.047453714,0.250769106,0.061371593
"17",5.03,29.4058325,26.29111969,43.28,NA,0.052473247,0.262549685,0.063892283
"18",4.68,31.88945375,23.16122449,51.99,NA,0.054678205,0.263571524,0.06917003
"19",4.14,15.82081875,24.0614841,27.14,NA,0.060467041,0.251538998,0.065138205
"20",5.09,35.104025,22.10844156,NA,NA,0.056207371,0.259185712,0.069568042
"21",NA,28.2157975,28.13801653,55.36,NA,0.063217196,0.265386509,0.07784528
"22",4.31,25.2539925,27.90737705,51.48,NA,0.053303098,0.250274325,0.064815323
"23",5.24,28.8787675,29.1,57.91,NA,0.047352513,0.25611559,0.056136804
"24",4.74,29.351135,23.64375,57.17,NA,0.049997491,0.248263255,0.057135395
"25",4.84,31.98724375,25.50337079,50.48,NA,0.06238038,0.267142806,0.070384173
"26",5.03,25.86310375,31.23577982,42.12,NA,0.050939889,0.256166072,0.066243041
"27",5.01,33.78720125,24.58267148,52.26,NA,0.04642957,0.242173275,0.056009197
"28",5.39,34.59435375,26.08965517,50.01,NA,0.055990283,0.250225326,0.065196885
"29",4.96,31.47013375,26.59921875,44.02,NA,0.06259066,0.286078854,0.078212029
"30",4.66,32.89053625,23.7261324,NA,NA,0.043820403,0.241259995,0.056323605
"31",3.69,26.32716625,28.25477178,39.3,NA,0.045299134,0.24167959,0.055416154
"32",4.49,31.32427375,24.14680851,41.03,NA,0.054944947,0.241174461,0.055415919
"33",4.14,25.66089625,24.67173913,NA,NA,0.058665677,0.264497398,0.074353249
"34",NA,28.88290625,32.42571429,49.49,NA,0.054658557,0.265090184,0.071791363
"35",4.45,28.01194,28.13801653,42.09,NA,0.037806217,0.248467323,0.058479423
"36",3.76,27.85198625,29.35086207,NA,NA,0.04621595,0.243923502,0.057591125
"37",4.94,32.07424,25.79318182,NA,NA,0.056056433,0.261052587,0.068091213
"38",4.55,27.52547875,27.56842105,45.41,NA,0.039706523,0.23296924,0.050925969
"39",4.95,26.36365875,28.02222222,57.08,NA,0.056878555,0.259465886,0.067822249
"40",5.02,32.1753575,25.99007634,NA,NA,0.049136659,0.250927162,0.060561476
"41",4.84,37.67383125,26.49571984,62.34,NA,0.049896933,0.248204457,0.058609042
"42",NA,34.2836175,24.85182482,55.26,NA,0.050507209,0.256120523,0.060994599
"43",4.56,28.073298,24.58267148,56.88,4.560539303,0.061415589,0.279402386,0.079487811
"44",4.04,23.064161,24.81559767,44.82,3.758326418,0.056783709,0.255262598,0.067304834
"45",4.55,30.76905575,23.86750789,NA,3.243296501,0.054216136,0.259027355,0.071001169
"46",4.1,26.04210125,26.39302326,36.48,NA,0.043237621,0.260576048,0.066618366
"47",4.09,21.19832,26.80866142,NA,NA,0.057335384,0.262181463,0.065404916
"48",4.13,22.7461375,30.54912517,53.58,3.976963184,0.068217797,0.271360615,0.077469449
"49",4.55,24.8429775,24.76145455,55.72,NA,0.065864286,0.282492633,0.075299928
"50",3.62,19.409773,22.98143773,45.25,NA,0.048836457,0.266533545,0.072721338
"51",4.16,19.90882925,29.02557545,NA,2.69453665,0.049764331,0.259691218,0.067652905
"52",3.96,22.9734175,23.31986301,36.96,NA,0.053834151,0.270152066,0.068854452
"53",4.76,25.5531135,25.84212524,NA,2.999701271,0.055730634,0.270075129,0.084139792
"54",4.58,25.955105,27.02142857,48.33,NA,0.066341394,0.281083746,0.088827918
"55",4.17,22.9402525,23.31986301,47.8,NA,0.051925617,0.255009492,0.066625372
"56",4.54,25.0365655,25.53205849,47.01,2.42203258,0.060961226,0.267200051,0.076577675
"57",4.34,23.5751885,28.04530478,NA,2.950982224,0.056953326,0.264129005,0.072602387
"58",4.62,34.26719225,20.60332829,51.55,2.154188391,0.053550736,0.266842887,0.072287919
"59",3.36,24.36838675,19.88726636,22.85,NA,0.064380735,0.269291614,0.082260862
"60",3.37,19.7049875,20.32656716,22.75,NA,0.052402956,0.258992837,0.071196502
"61",3.44,16.57798525,27.04289118,20.4,5.81148622,0.054850778,0.256296658,0.072495685
"62",3.75,26.771863,22.10126582,26.28,6.188788723,0.050914936,0.263795744,0.070829591
"63",NA,24.7828665,25.87158055,37.07,2.953903814,0.061560762,0.273596104,0.076497609
"64",NA,32.08156225,20.93267753,35.96,5.574850853,0.044945788,0.25094279,0.061994727
"65",3.74,24.65697775,22.73589316,26.52,4.920623662,0.04836793,0.255299002,0.06534082
"66",4.26,23.36472325,25.95045732,39.7,4.015841376,0.058740965,0.269194719,0.079185994
"67",3.08,20.74667375,22.10844156,19.86,NA,0.063980739,0.284908765,0.085904489
"68",3.7,24.4385625,23.31986301,27.82,NA,0.061074855,0.247632999,0.069926117
"69",3.82,26.58893925,23.49689441,43.71,3.124978818,0.053489687,0.244508534,0.066264251
"70",5.02,31.972174,23.51312155,32.07,2.060528026,0.053976424,0.25100584,0.070841341
"71",4.04,14.267,22.25294118,NA,NA,0.057736309,0.243593799,0.065599544
"72",4.31,16.52284125,30.43987483,19.34,2.359393807,0.076226314,0.267956726,0.08899488
"73",5.07,30.62750525,25.79318182,NA,2.456831899,0.054519328,0.263735942,0.075575428
"74",4.4,20.7259395,27.5461165,27.56,1.304040464,0.062147762,0.272630627,0.085193948
"75",4.53,24.50237625,23.7261324,47.56,NA,0.049295979,0.262627076,0.062883252
"76",4.37,26.376075,NA,44.64,NA,0.053997972,0.270183198,0.075246439
"77",4.32,22.40077125,30.1300885,NA,NA,0.067275902,0.2610068,0.078462435
"78",4.49,25.39736375,28.02222222,44.66,NA,0.053661849,0.258999486,0.063375093
"79",4.18,18.36828125,25.22,45.57,NA,0.068928718,0.283460641,0.080378893
"80",NA,23.09274,22.62259136,46.6,NA,0.053490549,0.245965349,0.066243354
"81",3.89,24.70791125,20.44864865,48.35,NA,0.055034713,0.25932844,0.069137391
"82",4.38,27.88305425,25.53205849,NA,2.672587675,0.047400081,0.255699976,0.066115585
"83",4.44,20.77735,27.56842105,45.97,NA,0.062565225,0.269036288,0.068555498
"84",NA,25.2706025,21.4807571,NA,NA,0.06107357,0.274683958,0.078770935
